"Image","Chemical Name","CAS Number","Latest Process","PublicParticipation","Open forPublic Comments"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5363377&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","(Z)-8-Dodecen-1-yl acetate","28079-04-1","Registered","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=241&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Stoddard solvent","8052-41-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Streptomyces strain K61","","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=19648&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Streptomycin sulfate","3810-74-0","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=6065&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Strychnidin-10-one, sulfate (2:1)","60-41-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=441071&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Strychnine","57-24-9","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5484222&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Sucrose octanoate","42922-74-7","Registered","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5320&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Sulfacetamide","144-80-9","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=44154842&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Sulfamic acid, chloro-, monosodium salt","13637-90-6","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=86369&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Sulfentrazone","122836-35-5","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=77797&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Sulfluramid","4151-50-2","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=52997&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Sulfometuron","74222-97-2","Registration Review","<img src=""cswu/r/files/static/v5Y/tick.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Sulfonic acids, C14-16-alkane hydroxy and C14-16-alkene, sodium salts","68439-57-6","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=105048&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Sulfosate","81591-81-3","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=86426&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Sulfosulfuron","141776-32-1","Registration Review","<img src=""cswu/r/files/static/v5Y/tick.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=19395&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Sulfotepp","3689-24-5","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5362487&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Sulfur","7704-34-9","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=1119&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Sulfur dioxide","7446-09-5","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=1118&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Sulfuric acid","7664-93-9","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=17607&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Sulfuryl fluoride","2699-79-8","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tall oil","8002-26-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tall oil fatty acids, potassium salts","61790-44-1","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=16129778&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tannic acid","1401-55-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=439655&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tar","147-71-7","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=86102&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tebuconazole","107534-96-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=91773&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tebufenozide","112410-23-8","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5383&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tebuthiuron","34014-18-1","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5281874&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tefluthrin","79538-32-2","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=24726&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Telone","542-75-6","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5392&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Temephos","3383-96-8","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=22188&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Terbacil","5902-51-2","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=25670&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Terbufos","13071-79-9","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=13450&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Terbutryn","886-50-0","Pending Registration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=62737&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Terephthalic acid, compd. with dodecylguanidine (1:2)","19727-17-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=8748&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Terpineols   ( unspec. )","138-87-4","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=31373&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tetrachloroethylene","127-18-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=21013&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tetrachlorophenols","25167-83-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tetrachlorophenols, alkyl* amine salt  *(as in fatty acids of coconut oil)","137543-70-5","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tetrachlorophenols, potassium salt","53535-27-6","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tetrachlorophenols, sodium salt","25567-55-9","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5284462&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tetrachlorvinphos","961-11-5","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=80277&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tetraconazole","112281-77-3","Registered","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=8305&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tetradifon","116-29-0","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=7873&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tetraethyl pyrophosphate","107-49-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=10568&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tetraiodoethylene","513-92-8","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=8404&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tetralin   (Not selected for InertFinder)","119-64-2","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=24365&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Tetramethrin","7696-12-0","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5430&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Thiabendazole","148-79-8","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=62833&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Thiabendazole hypophosphite","28558-32-9","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=115224&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Thiacloprid","111988-49-9","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5485188&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Thiamethoxam","153719-23-4","Registration Review","<img src=""cswu/r/files/static/v5Y/tick.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=91776&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Thiazopyr","117718-60-2","Registered","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=40087&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Thidiazuron","51707-55-2","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=61579&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Pyridine, 2,3,5,6-tetrachloro-4-(methylsulfonyl)-","13108-52-6","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=501133&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Pyridine, 2-((1-(2,5-dimethylphenyl)ethyl)sulfonyl)-, 1-oxide","60263-88-9","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=70724&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Pyridine, 4-chloro-, 1-oxide","1121-76-2","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Pyridylmercuric acetate","1334-77-6","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=91650&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Pyrimethanil","53112-28-0","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=91753&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Pyriproxyfen","95737-68-1","Registration Review","<img src=""cswu/r/files/static/v5Y/tick.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=23682187&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Pyrithiobac-sodium","123343-16-8","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=129813&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Pyroxyfur","70166-48-2","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","QST 713 strain of bacillus subtilis","","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=91739&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Quinclorac","84087-01-4","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=4650&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Quinone","106-51-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=3391107&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Quinoxyfen","878790-59-1","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=178795&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Quizalofop","76578-14-8","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Red pepper","","Registered","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=62354&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Red squill","507-60-8","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5770&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Reserpic acid methyl ester 3,4,5-trimethoxybenzoate (ester)","50-55-5","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5053&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Resmethrin","10453-86-8","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Reynoutria sachalinensis","","Registered","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=91779&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Rimsulfuron","122931-48-0","Registration Review","<img src=""cswu/r/files/static/v5Y/tick.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=9298&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Ronnel","299-84-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Rosemary Herbs","","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Rosin oil","8002-16-2","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5102&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Rotenone","83-79-4","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=27439&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Ryania speciosa, powdered stems of","15662-33-6","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
